line,emasculation_date,pollination_date,mompop,momplant,dadpop,dadplant,hr,vial,mid,bottom,keep
131,,2020-07-28,896,12-3,896,14-3,24,56,1,1,1
132,,2020-07-28,896,12-3,896,14-3,24,56,4,4,1
134,2020-07-31,2020-08-03,6682,233-2,6682,234-1,4,57,8,2,1
135,2020-07-31,2020-08-03,6682,233-2,6682,234-1,4,57,13,7,1
136,2020-07-31,2020-08-03,6682,233-2,6682,234-1,24,58,9,9,1
137,2020-07-31,2020-08-03,6682,233-2,6682,234-1,24,58,12,9,1
138,2020-07-31,2020-08-03,6682,233-2,6682,222-1,4,59,12,4,1
139,2020-07-31,2020-08-03,6682,233-2,6682,222-1,4,59,9,4,1
140,2020-07-31,2020-08-03,6682,233-2,6682,222-1,24,60,10,6,1
141,2020-07-31,2020-08-03,6682,233-2,6682,222-1,24,60,9,11,1
142,2020-07-31,2020-08-03,6682,233-2,896,12-2,4,61,5,0,1
143,2020-07-31,2020-08-03,6682,233-2,896,12-2,4,61,5,0,1
144,2020-07-31,2020-08-03,6682,233-2,896,12-2,24,62,10,10,1
145,2020-07-31,2020-08-03,6682,233-2,896,12-2,24,62,4,4,1
146,2020-07-31,2020-08-03,6682,233-2,896,12-3,4,63,1,0,1
147,2020-07-31,2020-08-03,6682,233-2,896,12-3,4,63,8,0,1
148,2020-07-31,2020-08-03,6682,233-2,896,12-3,24,64,9,9,1
149,2020-07-31,2020-08-03,6682,233-2,896,12-3,24,64,5,6,1
151,2020-08-01,2020-08-04,6682,212-1,6682,204-1,4,65,5,0,1
152,2020-08-01,2020-08-04,6682,212-1,6682,204-1,4,65,2,0,1
153,2020-08-01,2020-08-04,6682,212-1,6682,204-1,24,66,12,11,1
154,2020-08-01,2020-08-04,6682,212-1,6682,204-1,24,66,9,8,1
155,2020-08-01,2020-08-04,6682,212-1,6682,222-1,4,67,3,0,1
156,2020-08-01,2020-08-04,6682,212-1,6682,222-1,4,67,5,1,1
157,2020-08-01,2020-08-04,6682,212-1,6682,222-1,24,68,4,4,1
158,2020-08-01,2020-08-04,6682,212-1,6682,222-1,24,68,7,7,1
159,2020-08-01,2020-08-04,6682,212-1,896,0107-1-6,4,69,6,0,1
160,2020-08-01,2020-08-04,6682,212-1,896,0107-1-6,4,69,3,1,1
161,2020-08-01,2020-08-04,6682,212-1,896,0107-1-6,24,70,8,8,1
162,2020-08-01,2020-08-04,6682,212-1,896,0107-1-6,24,70,0,0,1
163,2020-08-07,2020-08-10,6682,212-1,896,0107-1-6,24,70,8,7,0
164,2020-08-07,2020-08-10,6682,212-1,896,0107-1-6,24,70,5,5,0
165,2020-08-01,2020-08-04,6682,212-1,896,12-3,4,71,6,0,1
166,2020-08-01,2020-08-04,6682,212-1,896,12-3,4,71,6,1,1
167,2020-08-01,2020-08-04,6682,212-1,896,12-3,24,72,8,6,1
168,2020-08-01,2020-08-04,6682,212-1,896,12-3,24,72,0,0,1
169,2020-08-07,2020-08-10,6682,212-1,896,12-3,24,72,8,7,0
170,2020-08-07,2020-08-10,6682,212-1,896,12-3,24,72,5,3,0
172,,2020-08-05,896,122-2,6682,222-1,4,73,2,0,1
173,,2020-08-05,896,122-2,6682,222-1,4,73,2,0,1
174,,2020-08-05,896,122-2,6682,222-1,24,74,5,4,1
175,,2020-08-05,896,122-2,6682,222-1,24,74,8,8,1
176,,2020-08-05,896,122-2,6682,233-2,4,75,0,0,1
177,,2020-08-05,896,122-2,6682,233-2,4,75,0,0,1
178,,2020-08-10,896,122-2,6682,233-2,4,75,0,0,0
179,,2020-08-10,896,122-2,6682,233-2,4,75,0,0,0
180,,2020-08-05,896,122-2,6682,233-2,24,76,0,0,1
181,,2020-08-05,896,122-2,6682,233-2,24,76,0,0,1
182,,2020-08-10,896,122-2,6682,233-2,24,76,5,5,0
183,,2020-08-10,896,122-2,6682,233-2,24,76,0,0,0
184,,2020-08-05,896,122-2,896,12-3,4,77,0,0,1
185,,2020-08-05,896,122-2,896,12-3,4,77,0,0,1
186,,2020-08-10,896,122-2,896,12-3,4,77,0,0,0
187,,2020-08-10,896,122-2,896,12-3,4,77,0,0,0
188,,2020-08-05,896,122-2,896,12-3,24,78,0,0,1
189,,2020-08-05,896,122-2,896,12-3,24,78,0,0,1
190,,2020-08-10,896,122-2,896,12-3,24,78,0,0,0
191,,2020-08-10,896,122-2,896,12-3,24,78,0,0,0
192,,2020-08-05,896,122-2,896,17-5,4,79,7,6,1
193,,2020-08-05,896,122-2,896,17-5,4,79,9,4,1
194,,2020-08-05,896,122-2,896,17-5,24,80,8,8,1
195,,2020-08-05,896,122-2,896,17-5,24,80,0,0,1
196,,2020-08-10,896,122-2,896,17-5,24,80,0,0,0
197,,2020-08-10,896,122-2,896,17-5,24,80,0,0,0
199,2020-08-07,2020-08-10,6682,234-1,6682,235-2,4,83,3,0,1
200,2020-08-07,2020-08-10,6682,234-1,6682,235-2,4,83,4,0,1
201,2020-08-07,2020-08-10,6682,234-1,6682,235-2,24,84,10,6,1
202,2020-08-07,2020-08-10,6682,234-1,6682,235-2,24,84,9,9,1
203,2020-08-07,2020-08-10,6682,234-1,6682,204-1,4,85,9,0,1
204,2020-08-07,2020-08-10,6682,234-1,6682,204-1,4,85,9,1,1
205,2020-08-07,2020-08-10,6682,234-1,6682,204-1,24,86,4,5,1
206,2020-08-07,2020-08-10,6682,234-1,6682,204-1,24,86,7,5,1
207,2020-08-07,2020-08-10,6682,234-1,896,14-3,4,87,7,0,1
208,2020-08-07,2020-08-10,6682,234-1,896,14-3,4,87,8,0,1
209,2020-08-07,2020-08-10,6682,234-1,896,14-3,24,88,9,8,1
210,2020-08-07,2020-08-10,6682,234-1,896,14-3,24,88,13,11,1
211,2020-08-07,2020-08-10,6682,234-1,896,17-5,4,89,5,0,1
212,2020-08-07,2020-08-10,6682,234-1,896,17-5,4,89,11,0,1
213,2020-08-07,2020-08-10,6682,234-1,896,17-5,24,90,7,8,1
214,2020-08-07,2020-08-10,6682,234-1,896,17-5,24,90,10,10,1
