crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
184	2	14	NA	KK	2017-02-10	5.796	2018-08-28	NA	539	337	904WPG	5	kaal	904WPG	3	kaal	within	KK	904-5 x 904-3	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.3	kaal904WPG
3	13	12	NA	HH	2017-02-10	14.943	2018-08-28	NA	540	337	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
185	3	4	A	KK	2017-02-10	4.49	2018-08-28	NA	541	337	904WPG	5	kaal	3587WP	7	kaal	between	KK	904-5 x 3587-7	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.7	kaal904WPG
182	4	2	B	KK	2017-02-10	7.852	2018-08-28	NA	542	337	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
63	18	11	NA	HH	2017-02-10	8.038	2018-08-28	NA	543	337	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
181	7	2	B	KK	2017-02-10	9.545	2018-08-28	NA	543.5	337	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
197	2	4	B	KK	2017-02-10	10.593	2018-08-28	NA	544	337	3587WP	7	kaal	904WPG	5	kaal	between	KK	3587-7 x 904-5	kaal.between	kaal.between.3587WP.7	3587WP.7	904WPG.5	kaal3587WP
59	1	1	A	HH	2017-02-10	13.299	2018-08-28	NA	545	337	WK	2	hook	879WKG	2-2	hook	between	HH	794-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
64	4	11	NA	HH	2017-02-10	16.581	2018-08-28	NA	546	337	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
89	11	1	A	HH	2017-02-10	13.31	2018-08-28	NA	547	337	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
10	7	9	A	HK	2017-02-10	12.707	2018-08-28	NA	548	337	879WKG	2-2	hook	904WPG	2	kaal	hybrid	HK	879-2-2 x 904-2	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.2	hook879WKG
169	9	14	NA	KK	2017-02-10	5.954	2018-08-28	NA	549	337	904WPG	3	kaal	904WPG	5	kaal	within	KK	904-3 x 904-5	kaal.within	kaal.within.904WPG.3	904WPG.3	904WPG.5	kaal904WPG
6	7	8	A	HK	2017-02-10	9.693	2018-08-28	NA	550	337	879WKG	2-2	hook	892WKG	1	kaal	hybrid	HK	879-2-2 x 892-1	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.1	hook879WKG
41	9	10	A	HK	2017-02-10	19.451	2018-08-28	NA	551	337	879WKG	G-2	hook	3587WP	14	kaal	hybrid	HK	879-G-2 x 3587-14	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	3587WP.14	hook879WKG
62	11	1	A	HH	2017-02-10	14.119	2018-08-28	NA	552	337	WK	2	hook	879WKG	N-5	hook	between	HH	794-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
93	16	11	NA	HH	2017-02-10	11.756	2018-08-28	NA	553	337	WK	2	hook	WK	4	hook	within	HH	866-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
96	1	5	A	HK	2017-02-10	6.389	2018-08-28	NA	554	337	WK	2	hook	892WKG	5	kaal	hybrid	HK	866-2 x 892-5	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.5	hookWK
95	5	1	A	HH	2017-02-10	15.07	2018-08-28	NA	555	337	WK	2	hook	892WKG	4	kaal	hybrid	HK	866-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
181	14	2	B	""KK""	2017-02-03	10.393	2018-08-28	?""KK""-Sara	556	330	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
234	4	3	B	KK	2017-02-03	9.819	2018-08-28	NA	557	330	3587WP	C	kaal	892WKG	4	kaal	between	KK	3587-C x 892-4	kaal.between	kaal.between.3587WP.C	3587WP.C	892WKG.4	kaal3587WP
82	7	5	A	HK	2017-02-15	9.896	2018-08-28	NA	558	342	WK	4	hook	892WKG	4	kaal	hybrid	HK	794-4 x 892-4	hook.hybrid	hook.hybrid.WK.4	WK.4	892WKG.4	hookWK
156	1	2	B	KK	2017-02-03	6.863	2018-08-28	NA	559	330	904WPG	2	kaal	892WKG	10	kaal	between	KK	904-2 x 892-10	kaal.between	kaal.between.904WPG.2	904WPG.2	892WKG.10	kaal904WPG
83	5	5	A	HK	2017-02-10	23.246	2018-08-28	NA	560	337	WK	4	hook	892WKG	5	kaal	hybrid	HK	794-4 x 892-5	hook.hybrid	hook.hybrid.WK.4	WK.4	892WKG.5	hookWK
186	1	4	A	KK	2017-02-10	5.756	2018-08-28	NA	561	337	904WPG	5	kaal	3587WP	10	kaal	between	KK	904-5 x 3587-10	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.10	kaal904WPG
90	6	1	A	HH	2017-02-10	13.618	2018-08-28	NA	562	337	WK	2	hook	879WKG	10-1	hook	between	HH	866-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
21	13	1	B	HH	2017-02-10	14.873	2018-08-28	NA	563	337	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
141	1	2	A	KK	2017-02-10	9.562	2018-08-28	NA	564	337	892WKG	5	kaal	904WPG	3	kaal	between	KK	892-5 x 904-3	kaal.between	kaal.between.892WKG.5	892WKG.5	904WPG.3	kaal892WKG
119	3	2	A	KK	2017-02-10	0.666	2018-08-28	NA	565	337	892WKG	1	kaal	904WPG	5	kaal	between	KK	892-1 x 904-5	kaal.between	kaal.between.892WKG.1	892WKG.1	904WPG.5	kaal892WKG
182	14	2	B	KK	2017-02-10	11.387	2018-08-28	NA	566	337	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
176	1	6	B	HK	2017-02-10	13.279	2018-08-28	NA	567	337	904WPG	5	kaal	WK	4	hook	hybrid	KH	904-5 x 794-4	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	WK.4	kaal904WPG
94	7	5	A	HK	2017-02-10	15.611	2018-08-28	NA	568	337	WK	2	hook	892WKG	1	kaal	hybrid	HK	866-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
21	8	1	B	HH	2017-02-19	23.53	2018-09-04	NA	569	346	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
46	1	12	NA	HH	2017-02-16	26.466	2018-09-04	NA	570	343	879WKG	N-5	hook	879WKG	2-2	hook	within	HH	879-N-5 x 879-2-2	hook.within	hook.within.879WKG.N-5	879WKG.N-5	879WKG.2-2	hook879WKG
41	6	10	A	HK	2017-02-19	10.109	2018-09-04	NA	571	346	879WKG	G-2	hook	3587WP	14	kaal	hybrid	HK	879-G-2 x 3587-14	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	3587WP.14	hook879WKG
98	11	6	A	HK	2017-02-19	13.906	2018-09-04	NA	572	346	WK	2	hook	904WPG	5	kaal	hybrid	HK	866-2 x 904-5	hook.hybrid	hook.hybrid.WK.2	WK.2	904WPG.5	hookWK
167	2	2	B	KK	2017-02-19	6.525	2018-09-04	NA	573	346	904WPG	3	kaal	892WKG	4	kaal	between	KK	904-3 x 892-4	kaal.between	kaal.between.904WPG.3	904WPG.3	892WKG.4	kaal904WPG
64	11	11	NA	HH	2017-02-19	12.791	2018-09-04	NA	574	346	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
95	10	5	A	HK	2017-02-19	15.832	2018-09-04	NA	575	346	WK	2	hook	892WKG	4	kaal	hybrid	HK	866-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
66	10	5	A	HK	2017-02-19	19.239	2018-09-04	NA	576	346	WK	2	hook	892WKG	1	kaal	hybrid	HK	794-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
98	8	6	A	HK	2017-02-19	17.955	2018-09-04	NA	577	346	WK	2	hook	904WPG	5	kaal	hybrid	HK	866-2 x 904-5	hook.hybrid	hook.hybrid.WK.2	WK.2	904WPG.5	hookWK
156	6	2	B	KK	2017-02-19	7.178	2018-09-04	NA	578	346	904WPG	2	kaal	892WKG	10	kaal	between	KK	904-2 x 892-10	kaal.between	kaal.between.904WPG.2	904WPG.2	892WKG.10	kaal904WPG
44	4	9	A	HK	2017-02-19	8.649	2018-09-04	NA	579	346	879WKG	H-2	hook	904WPG	5	kaal	hybrid	HK	879-H-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.H-2	879WKG.H-2	904WPG.5	hook879WKG
233	4	3	B	KK	NA	9.87	2018-09-04	No collected date	580	NA	3587WP	C	kaal	892WKG	3	kaal	between	KK	3587-C x 892-3	kaal.between	kaal.between.3587WP.C	3587WP.C	892WKG.3	kaal3587WP
183	6	14	NA	KK	2017-02-16	6.344	2018-09-04	NA	581	343	904WPG	5	kaal	904WPG	2	kaal	within	KK	904-5 x 904-2	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.2	kaal904WPG
180	7	2	B	KK	2017-02-21	5.448	2018-09-04	NA	582	348	904WPG	5	kaal	892WKG	3	kaal	between	KK	904-5 x 892-3	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.3	kaal904WPG
79	17	11	NA	HH	2017-02-16	15.876	2018-09-04	NA	583	343	WK	4	hook	WK	2	hook	within	HH	794-4 x 866-2	hook.within	hook.within.WK.4	WK.4	WK.2	hookWK
57	2	10	A	HK	2017-02-16	17.217	2018-09-04	NA	584	343	879WKG	N-5	hook	3587WP	A	kaal	hybrid	HK	879-N-5 x 3587-A	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	3587WP.A	hook879WKG
157	1	14	NA	KK	2017-02-21	4.338	2018-09-04	NA	585	348	904WPG	2	kaal	904WPG	3	kaal	within	KK	904-2 x 904-3	kaal.within	kaal.within.904WPG.2	904WPG.2	904WPG.3	kaal904WPG
155	3	2	B	KK	2017-02-16	6.598	2018-09-04	NA	586	343	904WPG	2	kaal	892WKG	1	kaal	between	KK	904-2 x 892-1	kaal.between	kaal.between.904WPG.2	904WPG.2	892WKG.1	kaal904WPG
185	8	4	A	KK	2017-02-16	5.358	2018-09-04	NA	587	343	904WPG	5	kaal	3587WP	7	kaal	between	KK	904-5 x 3587-7	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.7	kaal904WPG
182	6	2	B	KK	2017-02-16	2.626	2018-09-04	NA	588	343	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
173	1	9	B	KH	2017-02-21	18.425	2018-09-04	123-1?	589	348	904WPG	5	kaal	879WKG	G-2	hook	hybrid	KH	904-5 x 879-G-2	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.G-2	kaal904WPG
10	1	9	A	HK	2017-02-13	13.754	2018-09-04	NA	590	340	879WKG	2-2	hook	904WPG	2	kaal	hybrid	HK	879-2-2 x 904-2	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.2	hook879WKG
103	8	5	A	HK	2017-02-21	23.785	2018-09-04	NA	591	348	WK	2E- 1	hook	892WKG	1	kaal	hybrid	HK	899-2E- 1 x 892-1	hook.hybrid	hook.hybrid.WK.2E- 1	WK.2E- 1	892WKG.1	hookWK
9	14	8	A	HK	2017-02-16	9.75	2018-09-04	NA	592	343	879WKG	2-2	hook	892WKG	5	kaal	hybrid	HK	879-2-2 x 892-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.5	hook879WKG
105	16	6	A	HK	2017-02-18	18.811	2018-09-04	NA	593	345	WK	2E- 1	hook	904WPG	5	kaal	hybrid	HK	899-2E- 1 x 904-5	hook.hybrid	hook.hybrid.WK.2E- 1	WK.2E- 1	904WPG.5	hookWK
92	4	1	A	HH	2017-02-19	11.871	2018-09-04	NA	594	346	WK	2	hook	879WKG	N-5	hook	between	HH	866-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
55	5	9	A	HK	2017-02-21	15.065	2018-09-04	NA	595	348	879WKG	N-5	hook	904WPG	5	kaal	hybrid	HK	879-N-5 x 904-5	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	904WPG.5	hook879WKG
168	10	14	NA	KK	2017-02-02	9.378	2018-09-04	NA	596	329	904WPG	3	kaal	904WPG	2	kaal	within	KK	904-3 x 904-2	kaal.within	kaal.within.904WPG.3	904WPG.3	904WPG.2	kaal904WPG
3	19	12	NA	HH	2017-02-16	9.888	2018-09-04	NA	597	343	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
184	17	14	NA	KK	2017-02-16	6.84	2018-09-04	NA	598	343	904WPG	5	kaal	904WPG	3	kaal	within	KK	904-5 x 904-3	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.3	kaal904WPG
134	4	8	B	KH	2017-02-16	9.815	2018-09-04	NA	599	343	892WKG	5	kaal	879WKG	2-2	hook	hybrid	KH	892-5 x 879-2-2	kaal.hybrid	kaal.hybrid.892WKG.5	892WKG.5	879WKG.2-2	kaal892WKG
203	2	15	NA	KK	2017-02-16	8.554	2018-09-04	NA	600	343	3587WP	10	kaal	3587WP	C	kaal	within	KK	3587-10 x 3587-C	kaal.within	kaal.within.3587WP.10	3587WP.10	3587WP.C	kaal3587WP
19	1	1	B	HH	2017-02-16	8.006	2018-09-04	NA	601	343	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 794-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
42	3	10	A	HK	2017-02-16	9.478	2018-09-04	NA	602	343	879WKG	G-2	hook	3587WP	15	kaal	hybrid	HK	879-G-2 x 3587-15	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	3587WP.15	hook879WKG
118	7	2	A	KK	2017-02-21	5.484	2018-09-04	NA	603	348	892WKG	1	kaal	904WPG	3	kaal	between	KK	892-1 x 904-3	kaal.between	kaal.between.892WKG.1	892WKG.1	904WPG.3	kaal892WKG
22	11	1	B	HH	2017-02-19	18.715	2018-09-04	NA	604	346	879WKG	10-1	hook	WK	2E- 1	hook	between	HH	879-10-1 x 899-2E- 1	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2E- 1	hook879WKG
2	3	12	NA	HH	2017-02-10	17.233	2018-09-04	NA	605	337	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
35	8	1	B	HH	2017-02-10	17.349	2018-09-04	NA	606	337	879WKG	G-2	hook	WK	2	hook	between	HH	879-G-2 x 866-2	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.2	hook879WKG
29	11	10	A	HK	2017-02-10	26.616	2018-09-04	NA	607	337	879WKG	10-1	hook	3587WP	15	kaal	hybrid	HK	879-10-1 x 3587-15	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	3587WP.15	hook879WKG
62	12	1	A	HH	2017-02-19	23.418	2018-09-04	NA	608	346	WK	2	hook	879WKG	N-5	hook	between	HH	794-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
42	4	10	A	HK	2017-02-14	7.56	2018-09-12	NA	609	341	879WKG	G-2	hook	3587WP	15	kaal	hybrid	HK	879-G-2 x 3587-15	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	3587WP.15	hook879WKG
117	3	2	A	KK	2017-02-17	6.68	2018-09-12	NA	610	344	892WKG	1	kaal	904WPG	2	kaal	between	KK	892-1 x 904-2	kaal.between	kaal.between.892WKG.1	892WKG.1	904WPG.2	kaal892WKG
48	2	12	NA	HH	2017-02-14	10.317	2018-09-12	NA	611	341	879WKG	N-5	hook	879WKG	H-2	hook	within	HH	879-N-5 x 879-H-2	hook.within	hook.within.879WKG.N-5	879WKG.N-5	879WKG.H-2	hook879WKG
141	2	2	A	KK	2017-01-27	7.748	2018-09-12	NA	612	323	892WKG	5	kaal	904WPG	3	kaal	between	KK	892-5 x 904-3	kaal.between	kaal.between.892WKG.5	892WKG.5	904WPG.3	kaal892WKG
1	12	12	NA	NA	2017-01-27	8.849	2018-09-12	No Cross Type	613	323	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
108	2	8	B	KH	2017-01-26	14.229	2018-09-12	NA	614	322	892WKG	1	kaal	879WKG	2-2	hook	hybrid	KH	892-1 x 879-2-2	kaal.hybrid	kaal.hybrid.892WKG.1	892WKG.1	879WKG.2-2	kaal892WKG
169	13	14	NA	NA	2017-01-27	1.986	2018-09-12	No Cross Type 1/27/2017? JP: changed year from 2016	615	323	904WPG	3	kaal	904WPG	5	kaal	within	KK	904-3 x 904-5	kaal.within	kaal.within.904WPG.3	904WPG.3	904WPG.5	kaal904WPG
180	10	2	B	KK	2017-01-26	7.875	2018-09-12	NA	616	322	904WPG	5	kaal	892WKG	3	kaal	between	KK	904-5 x 892-3	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.3	kaal904WPG
74	8	1	A	HH	2017-01-27	6.382	2018-09-12	NA	617	323	WK	4	hook	879WKG	2-2	hook	between	HH	794-4 x 879-2-2	hook.between	hook.between.WK.4	WK.4	879WKG.2-2	hookWK
98	12	6	A	HK	2017-02-14	12.025	2018-09-12	2/14/2017? JP: changed year from 2016	618	341	WK	2	hook	904WPG	5	kaal	hybrid	HK	866-2 x 904-5	hook.hybrid	hook.hybrid.WK.2	WK.2	904WPG.5	hookWK
190	5	10	NA	KH	2017-01-27	14.766	2018-09-12	NA	619	323	3587WP	7	kaal	879WKG	G-2	hook	hybrid	KH	3587-7 x 879-G-2	kaal.hybrid	kaal.hybrid.3587WP.7	3587WP.7	879WKG.G-2	kaal3587WP
213	4	4	B	KK	NA	10.478	2018-10-03	No collected date	620	NA	3587WP	14	kaal	904WPG	3	kaal	between	KK	3587-14 x 904-3	kaal.between	kaal.between.3587WP.14	3587WP.14	904WPG.3	kaal3587WP
29	18	11	NA	HH	2017-02-18	13.648	2018-10-03	NA	621	345	879WKG	10-1	hook	3587WP	15	kaal	hybrid	HK	879-10-1 x 3587-15	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	3587WP.15	hook879WKG
64	13	11	NA	HH	2017-02-19	18.7	2018-10-05	NA	622	346	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
63	3	11	NA	HH	2017-02-19	18.26	2018-10-05	NA	623	346	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
21	12	1	B	HH	2017-02-19	18.17	2018-10-05	NA	624	346	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
214	2	4	B	KK	2017-02-19	10.293	2018-10-05	NA	625	346	3587WP	14	kaal	904WPG	5	kaal	between	KK	3587-14 x 904-5	kaal.between	kaal.between.3587WP.14	3587WP.14	904WPG.5	kaal3587WP
80	4	5	A	HK	2017-02-22	17.369	2018-10-05	NA	626	349	WK	4	hook	892WKG	1	kaal	hybrid	HK	794-4 x 892-1	hook.hybrid	hook.hybrid.WK.4	WK.4	892WKG.1	hookWK
31	5	12	NA	HH	2017-02-19	16.553	2018-10-05	NA	627	346	879WKG	G-2	hook	879WKG	2-2	hook	within	HH	879-G-2 x 879-2-2	hook.within	hook.within.879WKG.G-2	879WKG.G-2	879WKG.2-2	hook879WKG
64	20	11	NA	HH	2017-02-18	12.826	2018-10-05	NA	628	345	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
197	5	4	B	KK	2017-02-19	16.186	2018-10-05	NA	629	346	3587WP	7	kaal	904WPG	5	kaal	between	KK	3587-7 x 904-5	kaal.between	kaal.between.3587WP.7	3587WP.7	904WPG.5	kaal3587WP
63	9	11	NA	HH	2017-02-19	22.152	2018-10-05	NA	630	346	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
3	14	12	NA	HH	2017-02-08	14.507	2018-10-05	NA	631	335	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
1	10	12	NA	HH	2017-02-08	21.928	2018-10-05	NA	632	335	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
204	1	10	B	KH	2017-02-08	23.661	2018-10-05	NA	633	335	3587WP	14	kaal	879WKG	2-2	hook	hybrid	KH	3587-14 x 879-2-2	kaal.hybrid	kaal.hybrid.3587WP.14	3587WP.14	879WKG.2-2	kaal3587WP
142	3	2	A	KK	2017-02-08	17.798	2018-10-05	NA	634	335	892WKG	5	kaal	904WPG	5	kaal	between	KK	892-5 x 904-5	kaal.between	kaal.between.892WKG.5	892WKG.5	904WPG.5	kaal892WKG
43	1	12	NA	HH	2017-02-08	14.029	2018-10-05	NA	635	335	879WKG	H-2	hook	879WKG	G-2	hook	within	HH	879-H-2 x 879-G-2	hook.within	hook.within.879WKG.H-2	879WKG.H-2	879WKG.G-2	hook879WKG
17	3	12	NA	HH	2017-02-08	13.464	2018-10-05	NA	636	335	879WKG	10-1	hook	879WKG	H-2	hook	within	HH	879-10-1 x 879-H-2	hook.within	hook.within.879WKG.10-1	879WKG.10-1	879WKG.H-2	hook879WKG
3	5	12	NA	HH	2017-02-08	5.252	2018-10-05	NA	637	335	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
198	4	15	NA	KK	2017-02-08	4.816	2018-10-05	NA	638	335	3587WP	7	kaal	3587WP	14	kaal	within	KK	3587-7 x 3587-14	kaal.within	kaal.within.3587WP.7	3587WP.7	3587WP.14	kaal3587WP
214	1	4	B	KK	2017-02-08	8.482	2018-10-05	NA	639	335	3587WP	14	kaal	904WPG	5	kaal	between	KK	3587-14 x 904-5	kaal.between	kaal.between.3587WP.14	3587WP.14	904WPG.5	kaal3587WP
171	6	9	B	KH	2017-02-08	18.59	2018-10-05	NA	640	335	904WPG	5	kaal	879WKG	2-2	hook	hybrid	KH	904-5 x 879-2-2	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.2-2	kaal904WPG
157	3	14	NA	KK	2017-01-27	4.573	2018-10-05	NA	641	323	904WPG	2	kaal	904WPG	3	kaal	within	KK	904-2 x 904-3	kaal.within	kaal.within.904WPG.2	904WPG.2	904WPG.3	kaal904WPG
186	6	4	A	NA	2017-01-27	8.579	2018-10-05	No Cross Type	642	323	904WPG	5	kaal	3587WP	10	kaal	between	KK	904-5 x 3587-10	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.10	kaal904WPG
196	5	3	B	KK	2017-02-08	13.535	2018-10-05	NA	643	335	3587WP	7	kaal	892WKG	5	kaal	between	KK	3587-7 x 892-5	kaal.between	kaal.between.3587WP.7	3587WP.7	892WKG.5	kaal3587WP
198	4	15	NA	KK	2017-02-08	11.591	2018-10-05	NA	644	335	3587WP	7	kaal	3587WP	14	kaal	within	KK	3587-7 x 3587-14	kaal.within	kaal.within.3587WP.7	3587WP.7	3587WP.14	kaal3587WP
236	1	15	NA	KK	2017-01-26	8.61	2018-10-05	NA	645	322	3587WP	C	kaal	3587WP	14	kaal	within	KK	3587-C x 3587-14	kaal.within	kaal.within.3587WP.C	3587WP.C	3587WP.14	kaal3587WP
169	3	14	NA	NA	2017-01-27	4.474	2018-10-05	No Cross Type	646	323	904WPG	3	kaal	904WPG	5	kaal	within	KK	904-3 x 904-5	kaal.within	kaal.within.904WPG.3	904WPG.3	904WPG.5	kaal904WPG
6	5	8	A	HK	2017-01-26	19.698	2018-10-12	Not Needed	647	322	879WKG	2-2	hook	892WKG	1	kaal	hybrid	HK	879-2-2 x 892-1	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.1	hook879WKG
185	4	4	A	KK	2017-02-03	4.398	2018-10-15	NA	648	330	904WPG	5	kaal	3587WP	7	kaal	between	KK	904-5 x 3587-7	kaal.between	kaal.between.904WPG.5	904WPG.5	3587WP.7	kaal904WPG
182	5	2	B	KK	2017-02-10	6.289	2018-10-15	NA	649	337	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
171	1	9	B	NA	2017-02-03	21.951	2018-10-15	No Cross Type	650	330	904WPG	5	kaal	879WKG	2-2	hook	hybrid	KH	904-5 x 879-2-2	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.2-2	kaal904WPG
80	1	5	A	NA	2017-02-03	16.764	2018-10-15	No Cross Type	651	330	WK	4	hook	892WKG	1	kaal	hybrid	HK	794-4 x 892-1	hook.hybrid	hook.hybrid.WK.4	WK.4	892WKG.1	hookWK
183	5	14	NA	NA	2017-02-03	7.094	2018-10-15	No Cross Type	652	330	904WPG	5	kaal	904WPG	2	kaal	within	KK	904-5 x 904-2	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.2	kaal904WPG
127	3	3	A	NA	2017-02-03	10.859	2018-10-15	No Cross Type	653	330	892WKG	3	kaal	3587WP	7	kaal	between	KK	892-3 x 3587-7	kaal.between	kaal.between.892WKG.3	892WKG.3	3587WP.7	kaal892WKG
63	15	11	NA	NA	2017-02-03	14.131	2018-10-15	No Cross Type	654	330	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
94	9	5	A	NA	2017-02-03	5.096	2018-10-15	No Cross Type	655	330	WK	2	hook	892WKG	1	kaal	hybrid	HK	866-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
51	3	8	A	HK	2017-01-26	16.302	2018-10-24	NA	656	322	879WKG	N-5	hook	WK	2	hook	between	HH	879-N-5 x 866-2	hook.between	hook.between.879WKG.N-5	879WKG.N-5	WK.2	hook879WKG
