crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
63	1	11	NA	HH	2017-02-05	16.864	2017-09-29	""2/5/16""?	161	332	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
34	6	1	B	HH	2017-02-05	11.281	2017-09-29	NA	162	332	879WKG	G-2	hook	WK	4	hook	between	HH	879-G-2 x 794-4	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.4	hook879WKG
21	5	1	B	HH	2017-02-05	18.497	2017-09-29	NA	163	332	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
21	15	1	B	HH	2017-02-05	11.271	2017-09-29	NA	164	332	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
36	4	8	A	HK	2017-02-05	10.885	2017-09-29	NA	165	332	879WKG	G-2	hook	892WKG	3	kaal	hybrid	HK	879-G-2 x 892-3	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	892WKG.3	hook879WKG
19	14	1	B	HH	2017-02-05	16.295	2017-09-29	NA	166	332	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 794-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
78	7	11	NA	HH	2017-02-05	16.57	2017-09-29	NA	167	332	WK	4	hook	WK	2	hook	within	HH	794-4 x 794-2	hook.within	hook.within.WK.4	WK.4	WK.2	hookWK
91	11	1	A	HH	2017-02-05	11.026	2017-09-29	NA	168	332	WK	2	hook	879WKG	G-2	hook	between	HH	866-2 x 879-G-2	hook.between	hook.between.WK.2	WK.2	879WKG.G-2	hookWK
11	6	9	A	HK	2017-02-05	12.619	2017-09-29	NA	169	332	879WKG	2-2	hook	904WPG	3	kaal	hybrid	HK	879-2-2 x 904-3	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.3	hook879WKG
198	13	15	NA	KK	2017-02-05	8.519	2017-09-29	NA	170	332	3587WP	7	kaal	3587WP	14	kaal	within	KK	3587-7 x 3587-14	kaal.within	kaal.within.3587WP.7	3587WP.7	3587WP.14	kaal3587WP
64	11	11	NA	HH	2017-02-05	11.273	2017-09-29	NA	171	332	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
11	7	9	A	HK	2017-02-05	15.66	2017-09-29	NA	172	332	879WKG	2-2	hook	904WPG	3	kaal	hybrid	HK	879-2-2 x 904-3	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.3	hook879WKG
198	8	15	NA	KK	2017-02-05	9.05	2017-09-29	NA	173	332	3587WP	7	kaal	3587WP	14	kaal	within	KK	3587-7 x 3587-14	kaal.within	kaal.within.3587WP.7	3587WP.7	3587WP.14	kaal3587WP
68	6	5	A	HK	2017-02-05	8.59	2017-09-29	NA	174	332	WK	2	hook	892WKG	5	kaal	hybrid	HK	794-2 x 892-5	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.5	hookWK
