vial,line,cross,hr,momid,dadid,pollination_date,mid,bottom,grains,notes
39B,259,KxH,4,116-2,879 N-5,2018-08-08,3,0,,
39C,259,KxH,4,116-2,879 N-5,2018-08-08,7,3,,
40A,255,KxK,4,116-2,892-3,2018-08-08,1,0,,JP: changed cross KxH > KxK
40B,255,KxK,4,116-2,892-3,2018-08-08,2,0,,JP: changed cross KxH > KxK
40C,255,KxK,4,116-2,892-3,2018-08-08,0,1,,JP: changed cross KxH > KxK
42A,257,KxH,24,116-2,879 N-5,2018-08-08,6,5,,
42B,257,KxH,24,116-2,879 N-5,2018-08-08,7,7,,
42C,257,KxH,24,116-2,879 N-5,2018-08-08,8,2,,
43A,258,KxH,24,116-2,879 N-5,2018-08-08,8,5,,
43B,258,KxH,24,116-2,879 N-5,2018-08-08,7,6,,
44A,260,KxH,24,116-2,879 N-5,2018-08-08,6,6,,
44B,260,KxH,24,116-2,879 N-5,2018-08-08,8,7,,
44C,260,KxH,24,116-2,879 N-5,2018-08-08,7,7,,
45A,261,KxK,24,116-2,3587-1,2018-08-08,3,1,,JP: changed cross from KxH > KxK
45B,261,KxK,24,116-2,3587-1,2018-08-08,2,1,,JP: changed cross from KxH > KxK
45C,261,KxK,24,116-2,3587-1,2018-08-08,5,2,,JP: changed cross from KxH > KxK
41A,256,KxK,24,116-2,3587-1,2018-08-08,6,5,,JP: changed cross from KxH > KxK
41B,256,KxK,24,116-2,3587-1,2018-08-08,1,1,,
46A,262,KxK,24,116-2,3587-1,2018-08-08,3,2,,
46B,262,KxK,24,116-2,3587-1,2018-08-08,2,2,,
47A,263,KxK,24,116-2,3587-1,2018-08-08,3,3,,
47B,263,KxK,24,116-2,3587-1,2018-08-08,1,0,,
47C,263,KxK,24,116-2,3587-1,2018-08-08,1,1,,
48A,264,KxK,24,116-2,3587-1,2018-08-08,9,5,,
48B,264,KxK,24,116-2,3587-1,2018-08-08,1,0,,
48C,264,KxK,24,116-2,3587-1,2018-08-08,9,9,,
49A,265,HxH,4,879 2-2,3--15,2018-08-27,5,2,,
49B,265,HxH,4,879 2-2,3--15,2018-08-27,0,0,,
49C,265,HxH,4,879 2-2,3--15,2018-08-27,3,2,,
50,266,HxH,4,879 2-2,3--15,2018-08-27,6,3,,
51A,267,HxH,4,879 2-2,3--15,2018-08-27,2,1,,
51B,267,HxH,4,879 2-2,3--15,2018-08-27,4,3,,
51C,267,HxH,4,879 2-2,3--15,2018-08-27,9,5,,
51D,267,HxH,4,879 2-2,3--15,2018-08-27,6,6,,
52A,273,HxK,4,879 2-2,892-3,2018-08-27,2,0,,
52B,273,HxK,4,879 2-2,892-3,2018-08-27,5,0,,
52C,273,HxK,4,879 2-2,892-3,2018-08-27,4,0,,
52D,273,HxK,4,879 2-2,892-3,2018-08-27,2,0,,
53A,274,HxK,4,879 N-5,892-3,2018-08-27,2,0,,
53B,274,HxK,4,879 N-5,892-3,2018-08-27,2,0,,
53C,274,HxK,4,879 N-5,892-3,2018-08-27,1,0,,
54A,275,HxK,4,879 2-2,892-3,2018-08-27,5,0,,
54B,275,HxK,4,879 2-2,892-3,2018-08-27,3,1,,
55A,268,HxH,24,879 2-2,3--15,2018-08-27,5,5,,
55B,268,HxH,24,879 2-2,3--15,2018-08-27,7,6,,
55C,268,HxH,24,879 2-2,3--15,2018-08-27,4,3,,
56A,269,HxH,24,879 2-2,3--15,2018-08-27,8,6,,
56B,269,HxH,24,879 2-2,3--15,2018-08-27,5,7,,
56C,269,HxH,24,879 2-2,3--15,2018-08-27,5,6,,
57A,270,HxH,24,879 2-2,3--15,2018-08-27,4,5,,
57B,270,HxH,24,879 2-2,3--15,2018-08-27,6,4,,
58A,276,HxK,24,879 2-2,169-7,2018-08-27,4,0,,
58B,276,HxK,24,879 2-2,169-7,2018-08-27,9,3,,
58C,276,HxK,24,879 2-2,169-7,2018-08-27,2,2,,
59A,277,HxK,24,879 2-2,169-7,2018-08-27,5,0,,
59B,277,HxK,24,879 2-2,169-7,2018-08-27,3,2,,
59C,277,HxK,24,879 2-2,169-7,2018-08-27,6,2,,
59D,277,HxK,24,879 2-2,169-7,2018-08-27,8,1,,
60A,278,HxK,24,879 2-2,169-7,2018-08-27,4,0,,
60B,278,HxK,24,879 2-2,169-7,2018-08-27,1,0,,
60C,278,HxK,24,879 2-2,169-7,2018-08-27,5,3,,
61A,279,KxK,4,892-3,116-2,2018-10-04,9,7,34,
61B,279,KxK,4,892-3,116-2,2018-10-04,11,5,35,
61C,279,KxK,4,892-3,116-2,2018-10-04,11,6,24,
62A,280,KxK,4,892-3,116-2,2018-10-04,15,10,66,
62B,280,KxK,4,892-3,116-2,2018-10-04,9,11,31,
62C,280,KxK,4,892-3,116-2,2018-10-04,8,4,37,
63A,281,KxK,4,892-3,116-2,2018-10-04,6,4,45,
63B,281,KxK,4,892-3,116-2,2018-10-04,9,5,25,
63C,281,KxK,4,892-3,116-2,2018-10-04,6,6,8,
