dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	momtype	tenseeds.mass.mg	seed.mass.mg	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	P	42	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID?	904WPG	3	879WKG	H-2ID?	HF	H	0.86	0.086	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	43	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID?	904WPG	3	879WKG	H-2ID?	HF	H	0.93	0.093	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	44	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID?	904WPG	3	879WKG	H-2ID?	HF	H	0.91	0.091	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	45	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID1	904WPG	3	879WKG	H-2ID1	HF	H	0.97	0.097	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	46	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID1	904WPG	3	879WKG	H-2ID1	HF	H	1.08	0.10800000000000001	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	47	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID1	904WPG	3	879WKG	H-2ID1	HF	H	1	0.1	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	48	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID1	904WPG	3	879WKG	H-2ID1	HF	H	1.08	0.10800000000000001	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	49	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID1	904WPG	3	879WKG	H-2ID1	HF	H	1.04	0.10400000000000001	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	50	879-10-1	NA	NA	NA	NA	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	HF	H	1.15	0.11499999999999999	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	51	879-10-1	NA	NA	NA	NA	904-5 x 879-G-2ID3	904WPG	5	879WKG	G-2ID3	HF	H	0.91	0.091	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	52	879-10-1	NA	NA	NA	NA	3587-7 x 879-G-2ID4	3587WP	7	879WKG	G-2ID4	HF	H	0.88	0.088	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	53	879-10-1	NA	NA	NA	NA	3587-7 x 879-G-2ID4	3587WP	7	879WKG	G-2ID4	HF	H	0.98	0.098	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	54	879-10-1	NA	NA	NA	NA	3587-7 x 879-G-2ID4	3587WP	7	879WKG	G-2ID4	HF	H	0.99	0.099	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	55	879-10-1	NA	NA	NA	NA	3587-7 x 879-G-2ID4	3587WP	7	879WKG	G-2ID4	HF	H	1.07	0.10700000000000001	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	76	879-2-2	NA	NA	NA	NA	879-10-1 x 892-1ID1	879WKG	10-1	892WKG	1ID1	HF	H	1.3	0.13	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	77	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	H	1.38	0.13799999999999998	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	78	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	H	1.42	0.142	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	79	879-2-2	NA	NA	NA	NA	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	HF	H	1.34	0.134	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	80	879-2-2	NA	NA	NA	NA	879-G-2 x 904-5ID2	879WKG	G-2	904WPG	5ID2	HF	H	0.84	0.08399999999999999	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	81	879-2-2	NA	NA	NA	NA	879-G-2 x 904-5ID2	879WKG	G-2	904WPG	5ID2	HF	H	0.77	0.077	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	82	879-2-2	NA	NA	NA	NA	879-G-2 x 904-5ID2	879WKG	G-2	904WPG	5ID2	HF	H	0.82	0.08199999999999999	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	83	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.45	0.145	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	84	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.36	0.136	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	85	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.41	0.141	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	86	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.35	0.135	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	87	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.41	0.141	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	88	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.27	0.127	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	89	879-2-2	NA	NA	NA	NA	892-10 x 879-10-1ID2	892WKG	10	879WKG	10-1ID2	HF	H	1.23	0.123	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	90	879-2-2	NA	NA	NA	NA	892-3 x 879-10-1ID1	892WKG	3	879WKG	10-1ID1	HF	H	1.23	0.123	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	91	879-2-2	NA	NA	NA	NA	892-3 x 879-10-1ID1	892WKG	3	879WKG	10-1ID1	HF	H	1.34	0.134	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	92	879-2-2	NA	NA	NA	NA	904-2 x 879-10-1ID4	904WPG	2	879WKG	10-1ID4	HF	H	1.1	0.11000000000000001	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
