index,species,pop,source,plant_id,sex,habitat,seeds_weighed,total_mass_mg,notes,notes2
184,S.glob,844,F,96,2,D,25,2.23,,
185,S.glob,844,F,96,2,D,25,2.447,,
186,S.glob,844,F,96,2,D,25,2.394,,
187,S.glob,844,F,105,2,D,25,2.718,,
188,S.glob,844,F,105,2,D,25,2.596,,
189,S.glob,844,F,105,2,D,25,2.717,,
190,S.glob,844,F,105,2,D,25,2.877,,
191,S.glob,844,F,105,2,D,25,2.96,,
192,S.glob,844,F,105,2,D,25,2.887,,
193,S.glob,844,F,117,2,D,25,2.169,,
194,S.glob,844,F,117,2,D,25,2.382,,
195,S.glob,844,F,117,2,D,25,2.25,,
196,S.glob,844,F,117,2,D,25,2.549,,
197,S.glob,844,F,117,2,D,25,2.533,,
198,S.glob,844,F,117,2,D,25,2.436,,
199,S.glob,844,F,117,2,D,25,2.278,,
200,S.glob,844,F,117,2,D,25,2.224,,
201,S.glob,844,F,117,2,D,25,2.297,,
202,S.glob,844,F,159,2,D,25,1.935,,
203,S.glob,844,F,159,2,D,25,2.234,,
204,S.glob,844,F,159,2,D,25,2.193,,
205,S.glob,844,F,159,2,D,25,2.621,,
206,S.glob,844,F,159,2,D,25,2.983,,
207,S.glob,844,F,159,2,D,25,2.674,,
208,S.glob,844,F,180,3,D,25,1.98,,
209,S.glob,844,F,180,3,D,25,2.005,,
210,S.glob,844,F,180,3,D,25,1.816,,
211,S.glob,844,F,180,3,D,25,1.952,,
212,S.glob,844,F,180,3,D,25,2.107,,
213,S.glob,844,F,180,3,D,25,2.151,,
214,S.glob,844,F,228,3,D,25,2.497,,
215,S.glob,844,F,228,3,D,25,2.749,,
216,S.glob,844,F,228,3,D,4,0.393,,
217,S.glob,844,F,244,2,D,25,3.832,,
218,S.glob,844,F,244,2,D,25,3.888,,
219,S.glob,844,F,244,2,D,14,2.094,,
220,S.glob,844,F,244,2,D,25,3.494,,
221,S.glob,844,F,244,2,D,25,3.419,,
222,S.glob,844,F,244,2,D,25,3.489,,
223,S.glob,844,F,263,2,D,25,2.507,,
224,S.glob,844,F,263,2,D,25,2.714,,
225,S.glob,844,F,263,2,D,25,2.759,,
226,S.glob,844,F,263,2,D,25,2.719,,
227,S.glob,844,F,263,2,D,25,2.665,,
228,S.glob,844,F,263,2,D,25,2.723,,
229,S.glob,844,F,266,3,D,25,3.67,,
230,S.glob,844,F,266,3,D,25,3.613,,
231,S.glob,844,F,266,3,D,25,3.616,,
232,S.glob,844,F,266,3,D,25,3.47,,
233,S.glob,844,F,266,3,D,25,3.459,,
234,S.glob,844,F,266,3,D,25,3.321,,
235,S.glob,844,F,273,3,D,23,2.524,,
236,S.glob,844,F,273,3,D,25,2.811,,
237,S.glob,844,F,273,3,D,4,0.535,,
238,S.glob,844,F,275,3,D,25,3.392,,
239,S.glob,844,F,275,3,D,2,0.229,,
240,S.glob,844,F,277,2,D,25,2.683,,
241,S.glob,844,F,277,2,D,25,2.978,,
242,S.glob,844,F,277,2,D,25,2.894,,
243,S.glob,844,F,277,2,D,25,3.182,,
244,S.glob,844,F,277,2,D,25,3.121,,
245,S.glob,844,F,277,2,D,25,3.203,,
246,S.glob,844,F,279,3,D,25,2.466,,
247,S.glob,844,F,279,3,D,25,2.662,,
248,S.glob,844,F,279,3,D,25,2.659,,
249,S.sali,853,F,1,2,D,25,2.822,,
250,S.sali,853,F,1,2,D,25,2.957,,
251,S.sali,853,F,1,2,D,25,2.956,,
252,S.sali,853,F,3,2,D,25,4.29,,
253,S.sali,853,F,3,2,D,25,4.179,,
254,S.sali,853,F,3,2,D,25,4.181,,
255,S.sali,853,F,6,3,D,25,4.259,,
256,S.sali,853,F,6,3,D,25,4.318,,
257,S.sali,853,F,6,3,D,25,4.095,,
258,S.sali,853,F,9,3,D,25,4.121,,
259,S.sali,853,F,9,3,D,25,4.385,,
260,S.sali,853,F,9,3,D,25,4.083,,
261,S.sali,853,F,9,3,D,25,3.273,,
262,S.sali,853,F,9,3,D,25,3.459,,
263,S.sali,853,F,9,3,D,25,3.288,,
264,S.sali,853,F,9,3,D,25,5.191,,
265,S.sali,853,F,9,3,D,25,5.304,,
266,S.sali,853,F,9,3,D,25,5.297,,
267,S.sali,853,F,12,3,D,25,4.178,,
268,S.sali,853,F,12,3,D,25,3.992,,
269,S.sali,853,F,12,3,D,25,3.781,,
270,S.sali,853,F,13,3,D,25,3.318,,
271,S.sali,853,F,13,3,D,25,3.379,,
272,S.sali,853,F,13,3,D,25,3.315,,
273,S.sali,853,F,15,2,D,25,3.31,,
274,S.sali,853,F,15,2,D,25,3.477,,
275,S.sali,853,F,15,2,D,25,3.459,,
276,S.sali,853,F,15,2,D,25,3.125,,
277,S.sali,853,F,15,2,D,25,3.244,,
278,S.sali,853,F,15,2,D,25,3.191,,
279,S.sali,853,F,18.1,3,D,25,3.566,,
280,S.sali,853,F,18.1,3,D,25,3.793,,
281,S.sali,853,F,18.1,3,D,25,3.605,,
282,S.sali,853,F,18.1,3,D,25,4.079,,
283,S.sali,853,F,18.1,3,D,25,3.992,,
284,S.sali,853,F,18.1,3,D,25,4.124,,
285,S.sali,853,F,18.2,3,D,25,3.122,,
286,S.sali,853,F,18.2,3,D,25,3.393,,
287,S.sali,853,F,18.2,3,D,25,3.047,,
288,S.sali,853,F,18.2,3,D,25,3.859,,
289,S.sali,853,F,18.2,3,D,25,3.912,,
290,S.sali,853,F,18.2,3,D,25,3.979,,
291,S.sali,853,F,25,2,D,25,3.818,,
292,S.sali,853,F,25,2,D,25,3.996,,
293,S.sali,853,F,25,2,D,25,3.921,,
294,S.sali,853,F,41,3,D,25,4.527,,
295,S.sali,853,F,41,3,D,25,4.458,,
296,S.sali,853,F,41,3,D,25,4.575,,
297,S.sali,853,F,41,3,D,25,4.021,,
298,S.sali,853,F,41,3,D,25,4.155,,
299,S.sali,853,F,41,3,D,25,4.079,,
300,S.sali,853,F,41,3,D,25,4.842,,
301,S.sali,853,F,41,3,D,25,4.74,,
302,S.sali,853,F,41,3,D,25,4.795,,
303,S.sali,853,F,48,2,D,25,4.211,,
304,S.sali,853,F,48,2,D,25,4.595,,
305,S.sali,853,F,48,2,D,25,4.609,,
306,S.sali,853,F,48,2,D,25,3.372,,
307,S.sali,853,F,48,2,D,25,3.463,,
308,S.sali,853,F,48,2,D,25,3.739,,
309,S.sali,853,F,48,2,D,25,4.575,,
310,S.sali,853,F,48,2,D,25,4.405,,
311,S.sali,853,F,48,2,D,25,4.86,,
312,S.sali,853,F,57,2,D,25,3.378,,
313,S.sali,853,F,57,2,D,25,3.374,,
314,S.sali,853,F,57,2,D,25,3.368,,
315,S.sali,853,F,57,2,D,25,4.423,,
316,S.sali,853,F,57,2,D,25,4.496,,
317,S.sali,853,F,57,2,D,25,4.589,,
318,S.sali,853,F,58,2,D,25,2.8,,
319,S.sali,853,F,58,2,D,25,3.123,,
320,S.sali,853,F,58,2,D,13,1.741,,
321,S.sali,853,F,58,2,D,25,3.388,,
322,S.sali,853,F,58,2,D,25,3.557,,
323,S.sali,853,F,58,2,D,25,3.725,,
324,S.sali,853,F,64,3,D,25,3.637,,
325,S.sali,853,F,64,3,D,25,3.999,,
326,S.sali,853,F,64,3,D,25,4.072,,
327,S.sali,853,F,64,3,D,25,3.661,,
328,S.sali,853,F,64,3,D,25,3.551,,
329,S.sali,853,F,64,3,D,25,3.577,,
330,S.sali,853,F,66,3,D,25,2.053,,
331,S.sali,853,F,66,3,D,25,2.093,,
332,S.sali,853,F,66,3,D,14,1.18,,
333,S.sali,853,F,66,3,D,25,2.49,,
334,S.sali,853,F,66,3,D,25,2.632,,
335,S.sali,853,F,66,3,D,25,2.562,,
336,S.sali,853,F,77,2,D,25,3.679,,
337,S.sali,853,F,77,2,D,25,4.082,,
338,S.sali,853,F,77,2,D,25,3.844,,
339,S.sali,853,F,106,3,D,25,3.279,,
340,S.sali,853,F,106,3,D,25,3.111,,
341,S.sali,853,F,106,3,D,25,3.214,,
342,S.sali,853,F,106,3,D,25,3.637,,
343,S.sali,853,F,106,3,D,25,3.394,,
344,S.sali,853,F,106,3,D,25,3.723,,
345,S.sali,853,F,111,2,D,25,2.923,,
346,S.sali,853,F,111,2,D,25,3.298,,
347,S.sali,853,F,111,2,D,25,3.099,,
348,S.sali,853,F,111,2,D,25,2.897,,
349,S.sali,853,F,111,2,D,25,2.864,,
350,S.sali,853,F,111,2,D,25,2.778,,
351,S.sali,853,F,113,2,D,25,4.34,,
352,S.sali,853,F,113,2,D,25,3.979,,
353,S.sali,853,F,113,2,D,25,4.138,,
354,S.sali,853,F,113,2,D,25,3.695,,
355,S.sali,853,F,113,2,D,25,3.514,,
356,S.sali,853,F,113,2,D,25,3.547,,
357,S.sali,853,F,113,2,D,25,4.443,,
358,S.sali,853,F,113,2,D,25,4.477,,
359,S.sali,853,F,113,2,D,25,4.302,,
360,S.sali,853,F,114,2,D,25,3.737,,
361,S.sali,853,F,114,2,D,25,3.517,,
362,S.sali,853,F,114,2,D,25,3.223,,
363,S.sali,853,F,114,2,D,25,3.307,,
364,S.sali,853,F,114,2,D,25,3.672,,
365,S.sali,853,F,114,2,D,25,3.745,,
366,S.sali,853,F,114,2,D,25,4.184,,
367,S.sali,853,F,114,2,D,25,4.202,,
368,S.sali,853,F,114,2,D,25,4.048,,
369,S.sali,853,F,115,3,D,25,3.674,,
370,S.sali,853,F,115,3,D,25,3.414,,
371,S.sali,853,F,115,3,D,25,3.297,,
372,S.sali,853,F,115,3,D,25,4.091,,
373,S.sali,853,F,115,3,D,25,4.001,,
374,S.sali,853,F,115,3,D,25,3.983,,
375,S.glob,852,F,11,3,D,12,1.113,,
376,S.glob,852,F,20,2,D,25,2.502,,
377,S.glob,852,F,20,2,D,25,2.645,,
378,S.glob,852,F,20,2,D,25,2.726,,
379,S.glob,852,F,20,2,D,25,2.564,,
380,S.glob,852,F,20,2,D,25,1.722,,
381,S.glob,852,F,20,2,D,25,2.86,,
382,S.glob,852,F,20,2,D,25,2.775,,
383,S.glob,852,F,20,2,D,25,2.777,,
384,S.glob,852,F,20,2,D,25,2.981,,
385,S.glob,852,F,22,2,D,25,2.647,,
386,S.glob,852,F,22,2,D,25,2.624,,
387,S.glob,852,F,22,2,D,25,2.599,,
388,S.glob,852,F,22,2,D,25,2.822,,
389,S.glob,852,F,22,2,D,25,2.668,,
390,S.glob,852,F,22,2,D,25,2.641,,
391,S.glob,852,F,22,2,D,25,2.599,,
392,S.glob,852,F,22,2,D,25,2.683,,
393,S.glob,852,F,22,2,D,25,2.795,,
394,S.glob,852,F,24,2,D,25,4.02,,
395,S.glob,852,F,24,2,D,25,4.145,,
396,S.glob,852,F,24,2,D,25,4.076,,
397,S.glob,852,F,24,2,D,25,3.846,,
398,S.glob,852,F,24,2,D,25,3.787,,
399,S.glob,852,F,24,2,D,25,4.068,,
400,S.glob,852,F,25,3,D,25,2.227,,
401,S.glob,852,F,25,3,D,25,1.865,,
402,S.glob,852,F,25,3,D,25,2.355,,
403,S.glob,852,F,26,3,D,25,2.408,,
404,S.glob,852,F,26,3,D,25,2.275,,
405,S.glob,852,F,26,3,D,25,2.191,,
406,S.glob,852,F,26,3,D,2,0.13,,
407,S.glob,852,F,49,2,D,25,3.745,,
408,S.glob,852,F,49,2,D,25,3.744,,
409,S.glob,852,F,49,2,D,25,3.888,,
410,S.glob,852,F,49,2,D,25,3.97,,
411,S.glob,852,F,49,2,D,25,3.998,,
412,S.glob,852,F,49,2,D,25,3.925,,
413,S.glob,852,F,93,2,D,25,2.76,,
414,S.glob,852,F,93,2,D,25,3.018,,
415,S.glob,852,F,93,2,D,25,2.833,,
416,S.glob,852,F,93,2,D,25,2.844,,
417,S.glob,852,F,93,2,D,25,2.917,,
418,S.glob,852,F,93,2,D,24,2.664,,
419,S.glob,852,F,130,2,D,25,3.295,,
420,S.glob,852,F,130,2,D,25,3.477,,
421,S.glob,852,F,130,2,D,25,3.32,,
422,S.glob,852,F,130,2,D,25,3.612,,
423,S.glob,852,F,130,2,D,25,3.359,,
424,S.glob,852,F,130,2,D,25,3.603,,
425,S.glob,852,F,131,2,D,25,3.561,,
426,S.glob,852,F,131,2,D,25,3.449,,
427,S.glob,852,F,131,2,D,25,3.52,,
428,S.glob,852,F,131,2,D,25,3.322,,
429,S.glob,852,F,131,2,D,25,3.404,,
430,S.glob,852,F,131,2,D,25,3.294,,
431,S.glob,852,F,132,2,D,25,3.524,,
432,S.glob,852,F,132,2,D,25,3.94,,
433,S.glob,852,F,132,2,D,25,3.804,,
434,S.glob,852,F,132,2,D,25,3.471,,
435,S.glob,852,F,132,2,D,25,3.831,,
436,S.glob,852,F,132,2,D,25,3.563,,
437,S.glob,852,F,136,2,D,25,2.561,,
438,S.glob,852,F,136,2,D,25,2.401,,
439,S.glob,852,F,136,2,D,25,2.508,,
440,S.glob,852,F,136,2,D,25,3.287,,
441,S.glob,852,F,136,2,D,25,3.822,,
442,S.glob,852,F,136,2,D,25,3.634,,
443,S.glob,852,F,157,2,D,25,2.857,,
444,S.glob,852,F,157,2,D,25,2.834,,
445,S.glob,852,F,157,2,D,25,2.803,,
446,S.glob,852,F,157,2,D,25,3.283,,
447,S.glob,852,F,157,2,D,25,3.07,,
448,S.glob,852,F,157,2,D,25,2.836,,
449,S.glob,852,F,168,3,D,20,1.821,,
450,S.glob,852,F,168,3,D,25,2.231,,
451,S.glob,852,F,168,3,D,25,2.545,,
452,S.glob,852,F,168,3,D,25,3.871,,
453,S.glob,852,F,168,3,D,25,3.635,,
454,S.glob,852,F,168,3,D,25,3.889,,
455,S.sali,842,GH,65.05,F,D,25,3.15,SD-double checked,
456,S.sali,842,GH,65.05,F,D,25,3.07,SD-double checked,
457,S.sali,842,GH,65.05,F,D,25,3.2,SD-double checked,
458,S.sali,842,GH,65.05,F,D,25,3.53,SD-double checked,
459,S.sali,842,GH,65.05,F,D,25,3.47,SD-double checked,
460,S.sali,842,GH,65.05,F,D,25,3.31,SD-double checked,
461,S.sali,842,GH,65.05,F,D,2,0.32,SD-double checked,
462,S.sali,842,GH,65.05,F,D,25,1.78,SD-double checked,
463,S.sali,842,GH,65.05,F,D,25,1.71,SD-double checked,
464,S.sali,842,GH,65.05,F,D,25,2.03,SD-double checked,
465,S.sali,842,GH,65.05,F,D,25,1.83,SD-double checked,
466,S.sali,842,GH,65.05,F,D,25,2.02,SD-double checked,
467,S.sali,842,GH,65.05,F,D,25,1.85,SD-double checked,
468,S.sali,842,GH,65.05,F,D,25,1.82,SD-double checked,
