dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	viable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
P	P	2268	904-5	NA	NA	NA	NA	794	NA	NA	NA	NA	KH	10	NA	TRUE	904WPG	5	WK	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2269	904-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	14	NA	TRUE	904WPG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2270	904-5	NA	NA	NA	NA	904	NA	NA	NA	NA	KKwithin	14	NA	TRUE	904WPG	5	904WPG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2271	904-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	11	NA	TRUE	904WPG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2272	904-3	NA	NA	NA	NA	904	NA	NA	NA	NA	KKwithin	8	NA	TRUE	904WPG	3	904WPG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2273	904-3	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	4	NA	TRUE	904WPG	3	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2274	879-10-1	NA	NA	NA	NA	904	NA	NA	NA	NA	HK	0	NA	FALSE	879WKG	10-1	904WPG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2275	879-10-1	NA	NA	NA	NA	866	NA	NA	NA	NA	HHbetween	0	NA	FALSE	879WKG	10-1	WK	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2276	879-N-5	NA	NA	NA	NA	892	NA	NA	NA	NA	HK	0	NA	FALSE	879WKG	N-5	892WKG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2277	879-N-5	NA	NA	NA	NA	879	NA	NA	NA	NA	HHwithin	8	NA	TRUE	879WKG	N-5	879WKG	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
