set	id	date	cell	fullcross	mompop	momid	dadpop	dadid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	crosstype	comments	v	i	vpf	ipf	vp	tpf	momsp	dadsp	cross	sxc	sxcxm	mompid	smompop
2	1	2016-07-21	1	879 10-1 x 892-1	879WKG	10-1	892WKG	1	15	49	14	34	15	35	15	33	18	35	14	46	12	32	18	44	11	29	13	41	hybrid	NA	14.5	37.8	3221.8999999999996	8399.159999999998	0.2772466539196941	11621.059999999998	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	2	2015-11-05	1	879 10-1 x 892-1	879WKG	10-1	892WKG	1	29	25	43	26	36	19	28	14	26	20	38	21	24	18	43	24	22	14	22	17	hybrid	NA	31.1	19.8	6910.42	4399.5599999999995	0.6110019646365422	11309.98	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	8	2016-07-21	2	879 10-1 x 892-1	879WKG	10-1	892WKG	1	24	26	36	28	41	31	34	21	24	41	49	31	30	34	37	27	42	39	40	34	hybrid	NA	35.7	31.2	7932.54	6932.639999999999	0.5336322869955157	14865.18	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	9	2015-10-09	3	879 10-1 x 892-1	879WKG	10-1	892WKG	1	12	19	9	34	20	34	15	31	10	28	15	33	15	33	9	29	12	28	8	36	hybrid	NA	12.5	30.5	2777.5	6777.0999999999995	0.29069767441860467	9554.599999999999	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	10	2015-10-09	4	879 10-1 x 892-1	879WKG	10-1	892WKG	1	8	52	2	45	1	30	2	18	5	51	2	51	3	50	4	43	2	44	3	50	hybrid	NA	3.2	43.4	711.04	9643.48	0.06866952789699571	10354.52	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	1	2016-08-31	4	879 10-1 x 892-3	879WKG	10-1	892WKG	3	18	16	26	23	21	19	24	25	40	27	29	27	38	26	35	17	26	28	28	26	hybrid	NA	28.5	23.4	6332.7	5199.48	0.5491329479768786	11532.18	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	8	2016-07-21	3	879 10-1 x 892-3	879WKG	10-1	892WKG	3	9	25	20	45	11	41	9	36	18	38	12	27	9	45	9	30	8	42	13	46	hybrid	NA	11.8	37.5	2621.96	8332.5	0.2393509127789047	10954.46	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	9	2016-07-21	4	879 10-1 x 892-3	879WKG	10-1	892WKG	3	37	26	24	18	20	19	25	19	22	22	17	19	16	16	29	25	24	29	33	35	hybrid	NA	24.7	22.8	5488.339999999999	5066.16	0.5199999999999999	10554.5	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	1	2015-10-22	2	879 10-1 x 904-3	879WKG	10-1	904WPG	3	15	40	8	38	11	51	6	38	12	41	7	35	9	52	8	41	5	39	10	30	hybrid	NA	9.1	40.5	2022.0199999999998	8999.1	0.18346774193548385	11021.12	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
2	2	2016-07-21	5	879 10-1 x 904-3	879WKG	10-1	904WPG	3	20	43	27	48	5	16	25	31	22	27	15	36	14	24	8	29	13	26	12	37	hybrid	NA	16.1	31.7	3577.42	7043.74	0.3368200836820084	10621.16	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
NA	4	2015-10-23	1	879 10-1 x 904-5	879WKG	10-1	904WPG	5	23	26	15	15	17	19	12	24	22	31	20	44	18	28	24	33	23	34	23	29	hybrid	NA	19.7	28.3	4377.339999999999	6288.26	0.41041666666666665	10665.599999999999	hook	kaal	HK	hook.hybrid	hook.hybrid.879.10-1	879.10-1	hook879
NA	1	2015-10-07	NA	879 G-2 x 904-3	879WKG	G-2	904WPG	3	24	18	25	16	13	23	23	27	19	14	19	26	12	20	16	14	15	9	12	22	hybrid	NA	17.8	18.9	3955.16	4199.579999999999	0.4850136239782017	8154.739999999999	hook	kaal	HK	hook.hybrid	hook.hybrid.879.G-2	879.G-2	hook879
1	3	2015-10-15	5	879 G-2 x 904-3	879WKG	G-2	904WPG	3	12	50	5	45	9	46	10	39	7	37	9	28	10	51	9	50	15	44	9	57	hybrid	NA	9.5	44.7	2110.9	9932.34	0.1752767527675277	12043.24	hook	kaal	HK	hook.hybrid	hook.hybrid.879.G-2	879.G-2	hook879
1	4	2015-10-12	2	879 G-2 x 904-3	879WKG	G-2	904WPG	3	35	18	36	13	31	21	33	25	33	18	58	23	33	19	45	20	36	24	27	20	hybrid	NA	36.7	20.1	8154.74	4466.22	0.6461267605633804	12620.96	hook	kaal	HK	hook.hybrid	hook.hybrid.879.G-2	879.G-2	hook879
NA	5	2015-10-07	NA	879 G-2 x 904-3	879WKG	G-2	904WPG	3	13	25	17	38	13	29	18	41	14	38	15	29	20	28	12	28	13	27	16	27	hybrid	NA	15.1	31	3355.22	6888.199999999999	0.3275488069414317	10243.419999999998	hook	kaal	HK	hook.hybrid	hook.hybrid.879.G-2	879.G-2	hook879
